Sample	flow_Tcell
IPIBLAD001.T1	49.3
IPIBLAD002.T1	51
IPIBLAD003.T1	37
IPIBLAD004.T1	30
IPIBLAD006.T1	4.32
IPIBLAD007.T1	15.9
IPIBLAD009.T1	7.56
IPIBLAD010.T1	69
IPIBLAD011.T1	60
IPIBLAD012.T1	17
IPIBLAD015.T1	6
IPIBLAD032.T1	31.2
IPIBLAD033.T1	0.68
IPIBLAD034.T1	22.1
IPIBLAD036.T1	61.7
IPIBLAD040.T1	40
IPICRC010.T1	12.8
IPICRC011.T1	32.11
IPICRC012.T1	2.3
IPICRC030.T1	7.8
IPICRC031.T1	17.8
IPICRC032.T1	8.4
IPICRC034.T1	2.8
IPICRC057.T1	22.1
IPICRC060.T1	8.43
IPICRC072.T1	28.12
IPICRC073.T1	17.44
IPICRC077.T1	45.16
IPICRC079.T1	21
IPICRC080.T1	12
IPICRC088.T1	19.8
IPICRC089.T1	36.8
IPICRC090.T1	28.8
IPICRC093.T1	13.9
IPIGBM001.T1	5
IPIGBM002.T1	6
IPIGBM003.T1	10
IPIGBM004.T1	8
IPIGBM005.T1	12
IPIGBM006.T1	3.2
IPIGBM007.T1	4
IPIGBM008.T1	2
IPIGBM011.T1	0.33
IPIGBM012.T1	3.44
IPIGYN003.T1	22.3
IPIGYN018.T2	56
IPIGYN021.T1	7.97
IPIGYN045.T1	11.5
IPIGYN065.T1	46.6
IPIGYN070.T1	10
IPIGYN073.T1	16
IPIGYN074.T1	9
IPIGYN084.T1	38.2
IPIGYN086.T1	41.6
IPIGYN087.T1	0.0065
IPIGYN088.T1	29
IPIGYN095.T1	8.13
IPIGYN096.T1	7.16
IPIGYN100.T1	71
IPIGYN116.T1	17
IPIGYN124.T1	41.2
IPIGYN125.T1	3.99
PIGYN130.T1	2.33
PIGYN134.T1	11
IPIHEP001.T1	12.1
IPIHEP013.T1	77.1
IPIHEP015.T1	77
IPIHEP021.T1	42.1
IPIHEP028.T1	60
IPIHEP029.T1	56.2
IPIHEP030.T1	66.2
IPIHEP031.T1	15.25
IPIHEP032.T1	68.1
IPIHEP033.T1	60.1
IPIHNSC021.T1	21
IPIHNSC022.T1	78
IPIHNSC023.T1	94
IPIHNSC024.T1	12.1
IPIHNSC025.T1	60
IPIHNSC026.T1	60
IPIHNSC029.T1	65
IPIHNSC031.T1	57
IPIHNSC050.T1	20.1
IPIHNSC057.T1	23.7
IPIHNSC059.T1	50.7
IPIHNSC060.T1	37.8
IPIHNSC061.T1	8.7
IPIHNSC062.T1	58.6
IPIHNSC063.T1	74.4
IPIHNSC065.T1	20.3
IPIHNSC069.T1	1.19
IPIHNSC070.T1	59.3
IPIHNSC072.T1	28.3
IPIHNSC075.T1	35.2
IPIHNSC076.T1	22.9
IPIHNSC077.T1	49
IPIHNSC078.T1	8.4
IPIHNSC079.T1	46.6
IPIKID022.T1	88.3
IPIKID023.T1	54
IPIKID027.T1	68.8
IPIKID031.T1	51.2
IPIKID031.T2	32.6
IPIKID033.T2	55
IPIKID043.T1	44.4
IPIKID070.T1	57.9
IPIKID073.T1	14.3
IPIKID083.T1	63
IPIKID084.T1	69.7
IPIKID085.T1	72
IPIKID086.T1	52
IPIKID086.T2	42.3
IPIKID088.T1	28.1
IPIKID089.T1	18.7
IPIKID090.T1	52.4
IPIKID091.T1	58.7
IPIKID092.T1	72
IPIKID093.T1	56
IPIKID093.T2	34.4
IPIKID094.T1	48.3
IPIKID094.T2	21
IPIKID095.T1	70
IPIKID097.T1	8.65
IPIKID100.T1	87
IPIKID102.T1	47.8
IPIKID103.T1	60
IPIKID104.T1	22.8
IPIKID108.T1	37.8
IPIKID109.T1	37
IPIKID110.T1	5.84
IPILUNG001.T1	14.3
IPILUNG002.T1	44.4
IPILUNG003.T1	52.4
IPILUNG004.T1	28.2
IPILUNG006.T1	41.1
IPILUNG014.T1	12.3
IPILUNG015.T1	40.4
IPILUNG024.T1	13.3
IPILUNG025.T1	30.22
IPILUNG031.T1	42.2
IPILUNG037.T1	56.1
IPILUNG041.T1	63.4
IPILUNG056.T1	59
IPILUNG080.T1	54.3
IPILUNG088.T1	76.9
IPIMEL031.T1	7.56
IPIMEL025.T1	42
IPIMEL027.T1	77
IPIMEL056.T1	74
IPIMEL105.T2	50
IPIMEL191.T1	15.9
IPIMEL108.T1	7.55
IPIMEL113.T1	35.2
IPIMEL125.T1	9
IPIMEL127.T1	60
IPIMEL131.T1	17
IPIMEL146.T1	79
IPIMEL181.T1	8
IPIMEL191.T1	15
IPIMEL208.T1	57.7
IPIMEL226.T1	66.2
IPIMEL252.T1	62
IPIMEL274.T1	77.79
IPIMEL288.T1	68
IPIMEL296.T1	67.2
IPIPDAC001.T1	10
IPIPDAC002.T1	10
IPIPDAC003.T1	1
IPIPDAC004.T1	40
IPIPDAC005.T1	25
IPIPDAC013.T1	15
IPIPDAC021.T1	49
IPIPDAC029.T1	6.8
IPIPDAC032.T1	15
IPIPDAC034.T1	58.1
IPIPDAC037.T1	14.8
IPIPDAC041.T1	0.53
IPIPDAC047.T1	0.28
IPIPDAC050.T1	9
IPIPDAC051.T1	41
IPIPDAC052.T1	15
IPIPDAC053.T1	0.45
IPIPDAC056.T1	1.22
IPIPDAC058.T1	1
IPIPNET005.T1	6.2
IPIPNET007.T1	12.7
IPIPNET010.T1	0.3
IPIPNET016.T1	12.5
IPISRC001.T1	42.3
IPISRC003.T1	24.1
IPISRC004.T1	58.5
IPISRC009.T1	59
IPISRC015.T1	3.67
IPISRC021.T1	28.12
IPISRC022.T1	17.44
IPISRC024.T1	45.16
IPISRC025.T1	21
IPISRC026.T1	12
IPISRC027.T1	36.8
IPISRC035.T1	10.1
